Date,Product(ID#),Game,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD)
01-05-24,39496,Game 72,Brazil,Latin America,0,1,-1,11.99,2.99,BRL,0,0.58,0,-0.58
01-05-24,39496,Game 72,Brazil,Latin America,8,1,7,11.99,11.99,BRL,18.5644,2.31,0,16.2544
01-05-24,39496,Game 72,Canada,North America,4,0,4,6.49,6.49,CAD,20.63,0,-1.7392,18.8908
01-05-24,39496,Game 72,Germany,Western Europe,5,0,5,5.99,5.99,EUR,31.9596,0,-5.1221,26.8375
01-05-24,39496,Game 72,Spain,Western Europe,1,0,1,5.99,5.99,EUR,6.46,0,-1.1216,5.3384
01-05-24,39496,Game 72,France,Western Europe,3,0,3,5.99,5.99,EUR,19.31,0,-3.2238,16.0862
01-05-24,39496,Game 72,United Kingdom,Western Europe,3,0,3,4.79,4.79,GBP,18.02,0,-3.0095,15.0105
01-05-24,39496,Game 72,Hungary,Eastern Europe,2,0,2,5.99,5.99,EUR,12.92,0,-2.7392,10.1808
01-05-24,39496,Game 72,Israel,Middle East,1,0,1,21.95,21.95,ILS,5.91,0,0,5.91
01-05-24,39496,Game 72,Italy,Western Europe,2,0,2,5.99,5.99,EUR,12.79,0,-2.306,10.484
01-05-24,39496,Game 72,Korea Republic of,Asia,0,1,-1,6500,6500,KRW,0,4.69,0.4257,-4.2643
01-05-24,39496,Game 72,Kazakhstan,Central Asia,1,0,1,1250,1250,KZT,2.82,0,-0.3023,2.5177
01-05-24,39496,Game 72,Mexico,Latin America,0,1,-1,65.99,65.99,MXN,0,3.86,0.5323,-3.3277
01-05-24,39496,Game 72,Netherlands,Western Europe,2,0,2,5.99,5.99,EUR,12.83,0,-2.2275,10.6025
01-05-24,39496,Game 72,New Zealand,Oceania,2,0,2,7.39,7.39,NZD,8.81,0,-1.1445,7.6655
01-05-24,39496,Game 72,Poland,Eastern Europe,2,1,1,22.99,22.99,PLN,11.45,5.66,-1.0829,4.7071
01-05-24,39496,Game 72,United States,North America,26,1,25,5.99,5.99,USD,162.95,5.99,-7.21,149.75
01-05-24,39496,Game 72,South Africa,Africa,0,1,-1,65,65,ZAR,0,3.46,0.4514,-3.0086
